CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9054671,2,1,3,M,50,4,9,P,A,0,ALAMEDA,OAKLAND,2019
9057006,2,1,3,F,52,3,9,-,-,3,ALAMEDA,OAKLAND,2020
9070087,1,1,4,M,43,3,1,P,A,1,ALAMEDA,OAKLAND,2020
9070278,1,1,4,M,34,4,9,P,W,0,ALAMEDA,OAKLAND,2019
9071815,1,1,3,F,15,4,9,-,-,3,ALAMEDA,OAKLAND,2019
9073630,1,1,3,M,37,3,-,-,-,-,ALAMEDA,OAKLAND,2020
9074638,2,1,4,M,29,3,-,P,V,1,ALAMEDA,OAKLAND,2020
9098995,1,1,4,M,63,4,1,P,V,1,ALAMEDA,OAKLAND,2020
9100787,1,1,1,F,25,4,1,M,G,0,ALAMEDA,OAKLAND,2020
9100787,1,2,2,F,24,0,3,M,G,0,ALAMEDA,OAKLAND,2020
9100787,4,1,3,M,36,4,-,-,-,0,ALAMEDA,OAKLAND,2020
9106538,2,1,3,M,48,4,-,-,-,-,ALAMEDA,OAKLAND,2020
9119858,2,1,3,M,68,4,-,P,A,0,ALAMEDA,OAKLAND,2020
9122375,2,1,3,M,57,3,-,-,-,-,ALAMEDA,OAKLAND,2020
9123745,2,1,3,M,32,4,9,-,-,0,ALAMEDA,OAKLAND,2020
9129579,2,1,4,M,51,4,1,P,V,2,ALAMEDA,OAKLAND,2020
9129729,2,1,3,M,41,4,-,-,-,0,ALAMEDA,OAKLAND,2020
9136493,2,1,3,M,12,3,-,-,-,-,ALAMEDA,OAKLAND,2020
9143234,2,1,3,M,70,4,-,-,-,1,ALAMEDA,OAKLAND,2020
9147203,2,1,4,M,41,2,-,P,B,0,ALAMEDA,OAKLAND,2020
91516236,2,1,3,F,21,5,9,-,-,-,ALAMEDA,OAKLAND,2020
91518768,3,1,3,M,998,5,0,P,P,-,ALAMEDA,OAKLAND,2021
9152175,2,1,3,M,50,2,-,-,-,-,ALAMEDA,OAKLAND,2020
91690102,1,1,1,M,49,7,1,L,G,0,ALAMEDA,OAKLAND,2021
91690102,2,1,3,M,25,5,9,P,-,-,ALAMEDA,OAKLAND,2021
91820466,1,1,3,M,68,6,9,-,-,-,ALAMEDA,OAKLAND,2022
9182911,2,1,3,F,10,4,-,-,W,0,ALAMEDA,OAKLAND,2020
9197659,2,1,4,M,66,4,1,P,V,0,ALAMEDA,OAKLAND,2020
9199818,2,1,3,F,31,4,-,-,-,0,ALAMEDA,OAKLAND,2020
9199818,3,1,3,M,32,4,-,N,-,0,ALAMEDA,OAKLAND,2020
9202222,2,1,3,M,54,4,-,P,-,0,ALAMEDA,OAKLAND,2020
9206873,2,1,4,M,29,3,1,P,G,1,ALAMEDA,OAKLAND,2020
9208068,2,1,3,F,59,3,-,-,A,0,ALAMEDA,OAKLAND,2020
9210005,1,1,3,M,45,2,1,-,-,1,ALAMEDA,OAKLAND,2020
9210124,2,1,3,M,70,2,-,P,A,0,ALAMEDA,OAKLAND,2020
9230046,2,1,4,M,59,4,-,P,V,2,ALAMEDA,OAKLAND,2020
9232684,2,1,3,-,26,4,-,-,-,-,ALAMEDA,OAKLAND,2020
9234444,2,1,3,M,49,3,-,-,-,0,ALAMEDA,OAKLAND,2021
9237121,4,1,3,F,21,3,0,P,-,0,ALAMEDA,OAKLAND,2020
9247324,2,1,3,-,49,3,-,-,-,-,ALAMEDA,OAKLAND,2021
9253920,1,1,4,-,46,4,-,P,V,0,ALAMEDA,OAKLAND,2020
9279956,2,1,3,F,72,2,-,-,-,-,ALAMEDA,OAKLAND,2021
9308938,2,1,3,M,34,3,-,-,-,-,ALAMEDA,OAKLAND,2021
9308998,1,1,4,M,56,3,-,P,-,1,ALAMEDA,OAKLAND,2021
9309294,2,1,4,M,23,4,1,P,V,3,ALAMEDA,OAKLAND,2021
9309295,2,1,3,F,63,4,-,P,A,0,ALAMEDA,OAKLAND,2021
9318508,2,1,4,M,50,3,-,-,-,0,ALAMEDA,OAKLAND,2021
9318510,2,1,3,F,28,3,-,-,-,0,ALAMEDA,OAKLAND,2021
9319743,2,1,4,F,41,4,-,P,W,1,ALAMEDA,OAKLAND,2021
9338681,2,1,3,F,51,3,-,-,-,-,ALAMEDA,OAKLAND,2021
9360433,2,1,4,M,24,2,-,P,W,0,ALAMEDA,OAKLAND,2021
9360436,2,1,3,F,50,4,-,P,A,0,ALAMEDA,OAKLAND,2021
9369253,2,1,3,M,17,2,-,-,-,-,ALAMEDA,OAKLAND,2021
9369254,2,1,3,M,69,4,-,-,-,-,ALAMEDA,OAKLAND,2021
9372277,2,1,3,F,23,4,-,-,-,-,ALAMEDA,OAKLAND,2021
9375317,2,1,4,M,64,4,-,P,W,0,ALAMEDA,OAKLAND,2021
9402840,2,1,3,-,59,4,-,-,-,-,ALAMEDA,OAKLAND,2021
9402954,1,1,2,M,24,0,3,M,G,0,ALAMEDA,OAKLAND,2022
9402954,1,2,2,F,22,0,6,M,G,0,ALAMEDA,OAKLAND,2022
9402954,3,1,3,F,34,4,-,-,-,0,ALAMEDA,OAKLAND,2022
9407854,1,1,4,M,16,4,-,P,B,0,ALAMEDA,OAKLAND,2022
9416439,2,1,4,F,17,4,-,-,-,0,ALAMEDA,OAKLAND,2022
9417769,2,1,3,F,56,3,1,-,-,-,ALAMEDA,OAKLAND,2021
9421851,2,1,3,-,24,3,-,-,-,-,ALAMEDA,OAKLAND,2021
9426457,2,1,4,-,33,4,-,P,-,1,ALAMEDA,OAKLAND,2022
9428712,2,1,3,M,48,4,-,-,-,-,ALAMEDA,OAKLAND,2022
9428896,1,1,3,F,45,4,-,P,-,0,ALAMEDA,OAKLAND,2021
9433866,1,1,3,-,40,3,-,-,-,-,ALAMEDA,OAKLAND,2022
9433866,2,1,2,M,998,0,-,P,-,-,ALAMEDA,OAKLAND,2022
9439634,2,1,3,M,7,4,-,P,A,0,ALAMEDA,OAKLAND,2022
9441766,1,1,3,M,73,3,-,-,-,0,ALAMEDA,OAKLAND,2022
9441806,2,1,3,M,22,3,-,P,B,3,ALAMEDA,OAKLAND,2022
9442337,2,1,3,M,6,2,-,-,-,-,ALAMEDA,OAKLAND,2021
